po_number,line_number,material_id,quantity_order,uom,delivery_date,unit_price,line_total
HPO1_7,1,GASKET,20,pcs,2025-03-30,280.39,5607.8
HPO1_7,2,304L_SS,3,ft,2025-04-27,334.89,1004.67
HPO1_7,3,VALVE,14,pcs,2025-03-30,120.06,1680.84
HPO1_7,4,FLANGE,4,pcs,2025-04-01,144.17,576.68
HPO1_7,5,VALVE,2,pcs,2025-03-31,179.32,358.64
HPO1_8,1,FLANGE,1,pcs,2024-08-27,370.5,370.5
HPO1_8,2,FLANGE,19,pcs,2024-08-30,157.45,2991.55
HPO1_8,3,INSULATION,15,pcs,2024-09-06,234.35,3515.25
HPO1_8,4,9%_Ni_Alloy,1,ft,2024-09-15,328.26,328.26
HPO1_8,5,INSULATION,1,pcs,2024-08-23,250.96,250.96
HPO1_9,1,304L_SS,11,ft,2024-09-19,366.79,4034.69
HPO1_9,2,VALVE,9,pcs,2024-09-08,276.14,2485.26
HPO1_9,3,9%_Ni_Alloy,12,ft,2024-09-24,383.15,4597.8
HPO1_9,4,FLANGE,20,pcs,2024-09-16,340.74,6814.8
HPO1_9,5,304L_SS,20,ft,2024-10-02,255.23,5104.6
HPO1_9,6,GASKET,3,pcs,2024-09-10,132.48,397.44
HPO1_10,1,9%_Ni_Alloy,14,ft,2025-04-03,318.17,4454.38
HPO1_10,2,GASKET,19,pcs,2025-03-27,257.72,4896.68
HPO1_10,3,FLANGE,5,pcs,2025-03-24,237.85,1189.25
HPO1_10,4,304L_SS,19,ft,2025-04-02,150.58,2861.02
HPO1_10,5,VALVE,15,pcs,2025-03-16,348.94,5234.1
HPO1_11,1,FLANGE,18,pcs,2025-01-10,244.48,4400.64
HPO1_11,2,VALVE,2,pcs,2024-12-28,359.5,719.0
HPO1_11,3,INSULATION,6,pcs,2024-12-31,168.58,1011.48
HPO1_11,4,VALVE,12,pcs,2024-12-27,279.35,3352.2
HPO1_11,5,FLANGE,15,pcs,2024-12-25,122.1,1831.5
HPO1_11,6,FLANGE,16,pcs,2025-01-03,156.01,2496.16
HPO1_12,1,9%_Ni_Alloy,2,ft,2025-04-27,290.16,580.32
HPO1_12,2,9%_Ni_Alloy,8,ft,2025-05-06,121.88,975.04
HPO1_12,3,INSULATION,15,pcs,2025-04-20,362.79,5441.85
HPO2_1,1,VALVE,12,pcs,2024-09-29,160.81,1929.72
HPO2_1,2,9%_Ni_Alloy,11,ft,2024-10-18,194.15,2135.65
HPO2_1,3,VALVE,17,pcs,2024-10-15,305.72,5197.24
HPO2_1,4,VALVE,15,pcs,2024-10-13,258.6,3879.0
HPO2_1,5,VALVE,20,pcs,2024-10-16,395.74,7914.8
HPO2_1,6,304L_SS,5,ft,2024-11-02,96.54,482.7
HPO2_2,1,304L_SS,18,ft,2024-12-22,299.51,5391.18
HPO2_2,2,304L_SS,18,ft,2024-12-23,265.64,4781.52
HPO2_2,3,9%_Ni_Alloy,11,ft,2024-12-16,189.65,2086.15
HPO2_2,4,VALVE,13,pcs,2024-12-03,305.5,3971.5
HPO2_2,5,9%_Ni_Alloy,8,ft,2024-12-16,140.27,1122.16
HPO2_2,6,FLANGE,6,pcs,2024-11-18,388.27,2329.62
HPO2_3,1,GASKET,8,pcs,2024-10-27,89.72,717.76
HPO2_3,2,INSULATION,14,pcs,2024-10-14,296.48,4150.72
HPO2_3,3,9%_Ni_Alloy,16,ft,2024-11-08,206.04,3296.64
HPO2_3,4,FLANGE,2,pcs,2024-10-28,273.59,547.18
HPO2_4,1,304L_SS,2,ft,2024-08-24,184.65,369.3
HPO2_4,2,FLANGE,6,pcs,2024-08-05,323.93,1943.58
HPO2_4,3,FLANGE,19,pcs,2024-08-16,341.71,6492.49
HPO2_5,1,9%_Ni_Alloy,1,ft,2025-01-04,254.62,254.62
HPO2_5,2,VALVE,6,pcs,2024-12-14,273.1,1638.6
HPO2_5,3,FLANGE,10,pcs,2024-12-05,228.32,2283.2
HPO2_5,4,9%_Ni_Alloy,8,ft,2025-01-03,351.09,2808.72
HPO2_5,5,INSULATION,12,pcs,2024-12-08,207.62,2491.44
HPO2_5,6,VALVE,12,pcs,2024-12-07,274.53,3294.36
HPO2_5,7,FLANGE,6,pcs,2024-12-17,309.8,1858.8
HPO2_6,1,9%_Ni_Alloy,2,ft,2025-03-20,235.48,470.96
HPO2_6,2,9%_Ni_Alloy,20,ft,2025-03-20,178.33,3566.6
HPO2_6,3,GASKET,3,pcs,2025-02-27,179.62,538.86
HPO2_6,4,FLANGE,18,pcs,2025-02-21,167.24,3010.32
HPO2_6,5,VALVE,11,pcs,2025-02-26,297.96,3277.56
HPO2_6,6,304L_SS,13,ft,2025-03-13,174.49,2268.37
HPO2_6,7,FLANGE,10,pcs,2025-02-23,215.85,2158.5
HPO2_7,1,GASKET,9,pcs,2024-09-22,286.91,2582.19
HPO2_7,2,304L_SS,10,ft,2024-10-06,326.38,3263.8
HPO2_7,3,VALVE,5,pcs,2024-09-17,167.94,839.7
HPO2_7,4,GASKET,7,pcs,2024-09-23,339.05,2373.35
HPO2_7,5,FLANGE,10,pcs,2024-09-14,215.66,2156.6
HPO2_7,6,304L_SS,17,ft,2024-10-01,358.16,6088.72
HPO2_7,7,VALVE,17,pcs,2024-09-29,179.93,3058.81
HPO2_8,1,INSULATION,3,pcs,2025-02-03,302.45,907.35
HPO2_8,2,VALVE,7,pcs,2025-02-05,301.58,2111.06
HPO2_8,3,INSULATION,14,pcs,2025-02-15,273.03,3822.42
HPO2_9,1,VALVE,1,pcs,2024-11-04,193.6,193.6
HPO2_9,2,304L_SS,17,ft,2024-11-15,294.27,5002.59
HPO2_9,3,304L_SS,8,ft,2024-11-19,269.7,2157.6
HPO2_9,4,FLANGE,12,pcs,2024-11-01,140.9,1690.8
HPO2_9,5,304L_SS,12,ft,2024-11-15,196.14,2353.68
HPO2_10,1,304L_SS,16,ft,2025-01-08,191.22,3059.52
HPO2_10,2,FLANGE,20,pcs,2024-12-15,376.7,7534.0
HPO2_10,3,9%_Ni_Alloy,19,ft,2025-01-04,86.41,1641.79
HPO2_10,4,FLANGE,12,pcs,2024-12-13,349.45,4193.4
HPO2_11,1,FLANGE,2,pcs,2025-02-28,117.65,235.3
HPO2_11,2,9%_Ni_Alloy,13,ft,2025-03-03,201.89,2624.57
HPO2_11,3,9%_Ni_Alloy,9,ft,2025-03-02,177.77,1599.93
HPO2_11,4,9%_Ni_Alloy,4,ft,2025-03-19,245.02,980.08
HPO2_11,5,INSULATION,11,pcs,2025-03-01,397.49,4372.39
HPO2_11,6,GASKET,10,pcs,2025-02-26,377.79,3777.9
HPO2_12,1,FLANGE,20,pcs,2024-10-13,105.89,2117.8
HPO2_12,2,VALVE,2,pcs,2024-10-01,151.56,303.12
HPO2_12,3,INSULATION,18,pcs,2024-10-09,343.19,6177.42
HPO2_12,4,304L_SS,1,ft,2024-10-18,274.04,274.04
HPO2_12,5,304L_SS,16,ft,2024-11-05,345.39,5526.24
HPO3_1,1,304L_SS,12,ft,2024-07-10,379.66,4555.92
HPO3_1,2,GASKET,6,pcs,2024-06-23,278.27,1669.62
HPO3_1,3,FLANGE,19,pcs,2024-07-01,260.62,4951.78
HPO3_1,4,304L_SS,2,ft,2024-07-08,321.36,642.72
HPO3_1,5,FLANGE,15,pcs,2024-06-21,217.71,3265.65
HPO3_1,6,304L_SS,9,ft,2024-07-11,112.33,1010.97
HPO3_2,1,9%_Ni_Alloy,20,ft,2025-05-31,248.65,4973.0
HPO3_2,2,VALVE,5,pcs,2025-06-01,209.54,1047.7
HPO3_2,3,FLANGE,3,pcs,2025-05-19,248.16,744.48
HPO3_2,4,VALVE,7,pcs,2025-05-17,203.87,1427.09
HPO3_2,5,INSULATION,2,pcs,2025-05-18,163.14,326.28
HPO3_2,6,FLANGE,7,pcs,2025-05-17,148.86,1042.02
HPO3_3,1,9%_Ni_Alloy,17,ft,2024-11-20,225.4,3831.8
HPO3_3,2,GASKET,4,pcs,2024-10-27,183.9,735.6
HPO3_3,3,FLANGE,8,pcs,2024-10-28,200.28,1602.24
HPO3_3,4,9%_Ni_Alloy,6,ft,2024-11-19,331.21,1987.26
HPO3_3,5,GASKET,9,pcs,2024-11-11,290.78,2617.02
HPO3_3,6,INSULATION,2,pcs,2024-11-10,161.49,322.98
HPO3_4,1,304L_SS,12,ft,2024-11-23,221.85,2662.2
HPO3_4,2,304L_SS,8,ft,2024-12-17,318.79,2550.32
HPO3_4,3,FLANGE,19,pcs,2024-11-10,83.87,1593.53
HPO3_4,4,INSULATION,8,pcs,2024-11-21,397.31,3178.48
HPO3_4,5,INSULATION,19,pcs,2024-11-14,330.83,6285.77
HPO3_5,1,GASKET,8,pcs,2024-10-11,279.89,2239.12
HPO3_5,2,9%_Ni_Alloy,18,ft,2024-10-21,118.84,2139.12
HPO3_5,3,FLANGE,14,pcs,2024-10-12,286.05,4004.7
HPO3_5,4,VALVE,18,pcs,2024-10-13,335.59,6040.62
HPO3_5,5,9%_Ni_Alloy,8,ft,2024-10-20,272.6,2180.8
HPO3_5,6,VALVE,16,pcs,2024-10-05,120.99,1935.84
HPO3_6,1,9%_Ni_Alloy,18,ft,2025-05-24,167.61,3016.98
HPO3_6,2,INSULATION,12,pcs,2025-05-06,363.82,4365.84
HPO3_6,3,FLANGE,3,pcs,2025-04-24,350.88,1052.64
HPO3_6,4,INSULATION,18,pcs,2025-04-30,150.74,2713.32
HPO3_6,5,INSULATION,14,pcs,2025-04-25,258.5,3619.0
HPO3_6,6,304L_SS,11,ft,2025-05-24,321.02,3531.22
HPO3_7,1,9%_Ni_Alloy,19,ft,2025-04-04,349.02,6631.38
HPO3_7,2,FLANGE,11,pcs,2025-03-02,268.91,2958.01
HPO3_7,3,VALVE,19,pcs,2025-03-04,264.7,5029.3
HPO3_7,4,GASKET,5,pcs,2025-03-12,131.47,657.35
HPO3_8,1,VALVE,10,pcs,2024-09-01,145.29,1452.9
HPO3_8,2,VALVE,14,pcs,2024-09-06,276.79,3875.06
HPO3_8,3,FLANGE,16,pcs,2024-09-12,252.38,4038.08
HPO3_8,4,VALVE,10,pcs,2024-09-11,318.63,3186.3
HPO3_8,5,9%_Ni_Alloy,2,ft,2024-10-05,197.74,395.48
HPO3_9,1,FLANGE,10,pcs,2024-09-09,124.1,1241.0
HPO3_9,2,FLANGE,8,pcs,2024-09-13,81.03,648.24
HPO3_9,3,FLANGE,4,pcs,2024-09-19,109.76,439.04
HPO3_9,4,VALVE,4,pcs,2024-09-20,311.49,1245.96
HPO3_9,5,304L_SS,20,ft,2024-09-25,96.9,1938.0
HPO3_9,6,VALVE,18,pcs,2024-09-25,166.34,2994.12
HPO3_9,7,GASKET,17,pcs,2024-09-20,127.68,2170.56
HPO3_10,1,304L_SS,17,ft,2024-12-15,155.47,2642.99
HPO3_10,2,9%_Ni_Alloy,17,ft,2024-12-07,399.47,6790.99
HPO3_10,3,INSULATION,13,pcs,2024-11-08,214.8,2792.4
HPO3_10,4,FLANGE,16,pcs,2024-11-22,117.87,1885.92
HPO3_10,5,VALVE,14,pcs,2024-11-18,316.8,4435.2
HPO3_10,6,INSULATION,5,pcs,2024-11-27,195.92,979.6
HPO3_11,1,304L_SS,3,ft,2024-08-06,152.17,456.51
HPO3_11,2,9%_Ni_Alloy,5,ft,2024-08-12,336.85,1684.25
HPO3_11,3,VALVE,5,pcs,2024-07-12,122.71,613.55
HPO3_11,4,304L_SS,7,ft,2024-07-30,238.87,1672.09
HPO3_11,5,VALVE,4,pcs,2024-07-14,98.33,393.32
HPO3_11,6,9%_Ni_Alloy,12,ft,2024-08-17,320.44,3845.28
HPO3_11,7,FLANGE,4,pcs,2024-07-20,94.27,377.08
HPO3_12,1,GASKET,6,pcs,2025-05-01,130.04,780.24
HPO3_12,2,GASKET,11,pcs,2025-05-09,278.3,3061.3
HPO3_12,3,VALVE,4,pcs,2025-05-07,211.55,846.2
HPO3_12,4,9%_Ni_Alloy,15,ft,2025-05-22,314.38,4715.7
HPO3_13,1,VALVE,18,pcs,2024-10-12,289.34,5208.12
HPO3_13,2,304L_SS,17,ft,2024-11-10,178.78,3039.26
HPO3_13,3,INSULATION,12,pcs,2024-10-16,87.05,1044.6
HPO3_14,1,VALVE,6,pcs,2024-08-26,226.66,1359.96
HPO3_14,2,VALVE,5,pcs,2024-08-14,292.54,1462.7
HPO3_14,3,9%_Ni_Alloy,10,ft,2024-08-29,355.84,3558.4
HPO3_15,1,INSULATION,19,pcs,2024-08-02,144.44,2744.36
HPO3_15,2,9%_Ni_Alloy,20,ft,2024-08-04,322.16,6443.2
HPO3_15,3,VALVE,8,pcs,2024-07-31,361.47,2891.76
HPO3_15,4,GASKET,9,pcs,2024-07-24,395.2,3556.8
HPO3_16,1,9%_Ni_Alloy,11,ft,2025-03-27,221.14,2432.54
HPO3_16,2,304L_SS,12,ft,2025-03-18,110.09,1321.08
HPO3_16,3,9%_Ni_Alloy,9,ft,2025-03-12,168.46,1516.14
HPO3_17,1,VALVE,2,pcs,2025-04-06,276.31,552.62
HPO3_17,2,9%_Ni_Alloy,18,ft,2025-04-25,394.73,7105.14
HPO3_17,3,304L_SS,1,ft,2025-05-07,138.95,138.95
HPO3_17,4,GASKET,16,pcs,2025-04-10,180.21,2883.36
HPO3_17,5,FLANGE,14,pcs,2025-04-18,362.37,5073.18
HPO3_17,6,GASKET,14,pcs,2025-04-15,396.29,5548.06
HPO3_18,1,304L_SS,5,ft,2025-02-05,109.77,548.85
HPO3_18,2,304L_SS,20,ft,2025-01-13,147.12,2942.4
HPO3_18,3,9%_Ni_Alloy,3,ft,2025-01-20,342.1,1026.3
HPO3_18,4,VALVE,19,pcs,2025-01-08,396.18,7527.42
HPO3_18,5,INSULATION,12,pcs,2025-01-08,180.5,2166.0
HPO3_19,1,GASKET,1,pcs,2025-02-22,125.43,125.43
HPO3_19,2,9%_Ni_Alloy,15,ft,2025-03-24,319.62,4794.3
HPO3_19,3,FLANGE,16,pcs,2025-03-08,349.26,5588.16
HPO3_19,4,VALVE,15,pcs,2025-02-22,89.96,1349.4
HPO3_19,5,FLANGE,2,pcs,2025-02-21,180.77,361.54
HPO3_19,6,304L_SS,15,ft,2025-03-13,133.48,2002.2
HPO4_1,1,304L_SS,14,ft,2025-04-21,380.26,5323.64
HPO4_1,2,GASKET,7,pcs,2025-03-26,332.3,2326.1
HPO4_1,3,FLANGE,18,pcs,2025-04-05,370.3,6665.4
HPO4_1,4,FLANGE,2,pcs,2025-03-31,227.31,454.62
HPO4_1,5,GASKET,8,pcs,2025-03-20,212.08,1696.64
HPO4_1,6,GASKET,20,pcs,2025-04-03,93.45,1869.0
HPO4_1,7,FLANGE,6,pcs,2025-04-02,306.46,1838.76
HPO4_2,1,FLANGE,20,pcs,2024-09-30,149.9,2998.0
HPO4_2,2,304L_SS,4,ft,2024-10-09,164.26,657.04
HPO4_2,3,304L_SS,1,ft,2024-10-25,170.83,170.83
HPO4_2,4,GASKET,3,pcs,2024-09-25,175.97,527.91
HPO4_2,5,FLANGE,4,pcs,2024-09-20,360.72,1442.88
HPO4_2,6,GASKET,14,pcs,2024-09-25,396.49,5550.86
HPO4_3,1,INSULATION,18,pcs,2024-06-27,160.74,2893.32
HPO4_3,2,9%_Ni_Alloy,12,ft,2024-07-08,316.02,3792.24
HPO4_3,3,VALVE,9,pcs,2024-06-26,357.94,3221.46
HPO4_3,4,304L_SS,1,ft,2024-07-15,245.58,245.58
HPO4_3,5,VALVE,12,pcs,2024-07-04,228.62,2743.44
HPO4_4,1,9%_Ni_Alloy,7,ft,2024-11-10,203.04,1421.28
HPO4_4,2,VALVE,12,pcs,2024-10-24,166.9,2002.8
HPO4_4,3,VALVE,9,pcs,2024-10-23,166.07,1494.63
HPO4_4,4,VALVE,18,pcs,2024-11-08,92.73,1669.14
HPO4_4,5,FLANGE,8,pcs,2024-11-10,168.58,1348.64
HPO4_5,1,9%_Ni_Alloy,11,ft,2024-08-10,114.57,1260.27
HPO4_5,2,9%_Ni_Alloy,17,ft,2024-07-31,173.92,2956.64
HPO4_5,3,INSULATION,9,pcs,2024-07-11,171.06,1539.54
HPO4_6,1,9%_Ni_Alloy,12,ft,2024-08-06,211.53,2538.36
HPO4_6,2,INSULATION,13,pcs,2024-07-15,295.87,3846.31
HPO4_6,3,9%_Ni_Alloy,7,ft,2024-07-23,80.5,563.5
HPO4_6,4,FLANGE,13,pcs,2024-07-18,99.05,1287.65
HPO4_6,5,FLANGE,18,pcs,2024-07-21,116.64,2099.52
HPO4_6,6,9%_Ni_Alloy,4,ft,2024-08-05,109.53,438.12
HPO4_6,7,VALVE,8,pcs,2024-07-23,368.1,2944.8
HPO4_7,1,VALVE,14,pcs,2025-04-08,124.44,1742.16
HPO4_7,2,304L_SS,7,ft,2025-04-08,311.67,2181.69
HPO4_7,3,304L_SS,2,ft,2025-04-11,345.29,690.58
HPO4_7,4,INSULATION,2,pcs,2025-04-07,302.36,604.72
HPO4_7,5,VALVE,11,pcs,2025-03-22,107.01,1177.11
HPO4_8,1,304L_SS,11,ft,2025-03-26,209.25,2301.75
HPO4_8,2,304L_SS,9,ft,2025-03-29,355.76,3201.84
HPO4_8,3,VALVE,12,pcs,2025-02-23,202.96,2435.52
HPO4_9,1,9%_Ni_Alloy,4,ft,2024-11-10,248.26,993.04
HPO4_9,2,VALVE,5,pcs,2024-11-01,125.63,628.15
HPO4_9,3,GASKET,1,pcs,2024-11-09,129.43,129.43
HPO4_9,4,304L_SS,18,ft,2024-11-12,188.99,3401.82
HPO4_10,1,VALVE,6,pcs,2024-11-11,113.68,682.08
HPO4_10,2,304L_SS,18,ft,2024-11-30,153.12,2756.16
HPO4_10,3,INSULATION,3,pcs,2024-11-21,123.45,370.35
HPO4_10,4,304L_SS,14,ft,2024-12-17,376.2,5266.8
HPO4_10,5,VALVE,19,pcs,2024-11-28,180.23,3424.37
HPO4_10,6,304L_SS,10,ft,2024-11-30,347.35,3473.5
HPO4_11,1,304L_SS,15,ft,2025-01-09,89.9,1348.5
HPO4_11,2,INSULATION,4,pcs,2024-12-10,129.33,517.32
HPO4_11,3,VALVE,2,pcs,2024-12-18,323.81,647.62
HPO4_12,1,9%_Ni_Alloy,3,ft,2025-06-09,280.39,841.17
HPO4_12,2,VALVE,19,pcs,2025-05-29,315.06,5986.14
HPO4_12,3,9%_Ni_Alloy,19,ft,2025-06-01,313.86,5963.34
HPO4_12,4,304L_SS,5,ft,2025-06-13,307.48,1537.4
HPO4_12,5,INSULATION,2,pcs,2025-05-23,193.11,386.22
HPO4_12,6,VALVE,11,pcs,2025-05-19,119.94,1319.34
HPO4_13,1,VALVE,11,pcs,2024-07-28,260.07,2860.77
HPO4_13,2,VALVE,11,pcs,2024-08-15,264.73,2912.03
HPO4_13,3,GASKET,14,pcs,2024-08-14,221.91,3106.74
HPO4_13,4,FLANGE,15,pcs,2024-07-31,338.11,5071.65
HPO4_14,1,9%_Ni_Alloy,3,ft,2025-01-18,243.34,730.02
HPO4_14,2,FLANGE,16,pcs,2025-01-16,232.59,3721.44
HPO4_14,3,FLANGE,11,pcs,2025-01-01,301.61,3317.71
HPO4_14,4,304L_SS,16,ft,2025-01-25,337.42,5398.72
HPO4_14,5,9%_Ni_Alloy,15,ft,2025-01-16,399.3,5989.5
HPO4_15,1,304L_SS,13,ft,2024-07-17,379.87,4938.31
HPO4_15,2,GASKET,9,pcs,2024-06-25,350.69,3156.21
HPO4_15,3,FLANGE,8,pcs,2024-07-03,311.41,2491.28
HPO5_1,1,INSULATION,2,pcs,2024-12-05,385.64,771.28
HPO5_1,2,VALVE,16,pcs,2024-11-24,104.6,1673.6
HPO5_1,3,VALVE,10,pcs,2024-12-08,233.04,2330.4
HPO5_1,4,304L_SS,13,ft,2024-12-31,174.49,2268.37
HPO5_1,5,9%_Ni_Alloy,7,ft,2024-12-10,337.11,2359.77
HPO5_1,6,INSULATION,7,pcs,2024-11-29,152.33,1066.31
HPO5_1,7,FLANGE,13,pcs,2024-12-11,194.5,2528.5
HPO5_2,1,GASKET,20,pcs,2024-08-20,298.44,5968.8
HPO5_2,2,9%_Ni_Alloy,14,ft,2024-09-04,177.02,2478.28
HPO5_2,3,9%_Ni_Alloy,4,ft,2024-08-28,373.37,1493.48
HPO5_2,4,FLANGE,12,pcs,2024-08-14,362.24,4346.88
HPO5_3,1,VALVE,6,pcs,2024-08-19,380.94,2285.64
HPO5_3,2,304L_SS,11,ft,2024-09-23,195.27,2147.97
HPO5_3,3,9%_Ni_Alloy,2,ft,2024-09-10,262.98,525.96
HPO5_3,4,INSULATION,19,pcs,2024-08-27,215.16,4088.04
HPO5_4,1,GASKET,10,pcs,2025-04-14,133.42,1334.2
HPO5_4,2,FLANGE,13,pcs,2025-04-04,389.14,5058.82
HPO5_4,3,FLANGE,17,pcs,2025-04-03,304.81,5181.77
HPO5_4,4,9%_Ni_Alloy,20,ft,2025-05-03,282.99,5659.8
HPO5_4,5,INSULATION,17,pcs,2025-04-04,239.54,4072.18
HPO5_5,1,304L_SS,7,ft,2025-01-24,139.53,976.71
HPO5_5,2,VALVE,4,pcs,2025-01-02,147.84,591.36
HPO5_5,3,FLANGE,11,pcs,2025-01-01,334.8,3682.8
HPO5_5,4,FLANGE,13,pcs,2025-01-02,206.31,2682.03
HPO5_5,5,INSULATION,4,pcs,2025-01-18,315.87,1263.48
HPO5_5,6,INSULATION,12,pcs,2025-01-08,229.81,2757.72
HPO5_6,1,VALVE,15,pcs,2024-07-21,84.7,1270.5
HPO5_6,2,9%_Ni_Alloy,2,ft,2024-08-17,307.0,614.0
HPO5_6,3,INSULATION,3,pcs,2024-07-14,209.37,628.11
HPO5_6,4,VALVE,20,pcs,2024-07-22,360.85,7217.0
HPO5_7,1,VALVE,12,pcs,2024-11-19,326.45,3917.4
HPO5_7,2,GASKET,2,pcs,2024-11-14,164.99,329.98
HPO5_7,3,304L_SS,1,ft,2024-12-17,245.75,245.75
HPO5_8,1,GASKET,9,pcs,2024-10-11,345.52,3109.68
HPO5_8,2,FLANGE,8,pcs,2024-10-13,207.36,1658.88
HPO5_8,3,9%_Ni_Alloy,3,ft,2024-10-24,379.96,1139.88
HPO5_8,4,FLANGE,13,pcs,2024-10-15,99.11,1288.43
HPO5_8,5,FLANGE,4,pcs,2024-10-08,381.67,1526.68
HPO5_8,6,FLANGE,20,pcs,2024-10-18,286.27,5725.4
HPO5_9,1,FLANGE,10,pcs,2025-05-28,168.4,1684.0
HPO5_9,2,INSULATION,8,pcs,2025-05-23,370.05,2960.4
HPO5_9,3,304L_SS,11,ft,2025-06-10,339.16,3730.76
HPO5_10,1,INSULATION,2,pcs,2025-02-05,193.37,386.74
HPO5_10,2,INSULATION,14,pcs,2025-01-26,278.69,3901.66
HPO5_10,3,INSULATION,18,pcs,2025-02-04,254.9,4588.2
HPO5_11,1,304L_SS,11,ft,2024-10-01,248.71,2735.81
HPO5_11,2,9%_Ni_Alloy,12,ft,2024-09-24,114.85,1378.2
HPO5_11,3,FLANGE,16,pcs,2024-09-15,163.05,2608.8
HPO5_12,1,FLANGE,2,pcs,2025-02-19,387.24,774.48
HPO5_12,2,VALVE,2,pcs,2025-02-04,322.34,644.68
HPO5_12,3,304L_SS,8,ft,2025-02-21,159.15,1273.2
HPO5_12,4,FLANGE,7,pcs,2025-02-19,132.06,924.42
HPO5_12,5,VALVE,12,pcs,2025-02-11,347.33,4167.96
HPO5_12,6,FLANGE,10,pcs,2025-02-13,94.74,947.4
HPO5_13,1,INSULATION,2,pcs,2024-11-26,238.3,476.6
HPO5_13,2,VALVE,7,pcs,2024-11-24,283.34,1983.38
HPO5_13,3,304L_SS,3,ft,2024-11-25,384.3,1152.9
HPO5_13,4,VALVE,14,pcs,2024-11-24,332.02,4648.28
HPO5_14,1,GASKET,20,pcs,2025-02-19,88.81,1776.2
HPO5_14,2,GASKET,9,pcs,2025-02-08,153.18,1378.62
HPO5_14,3,INSULATION,2,pcs,2025-02-12,151.96,303.92
HPO5_14,4,VALVE,11,pcs,2025-02-18,216.8,2384.8
HPO6_1,1,VALVE,4,pcs,2024-10-29,364.44,1457.76
HPO6_1,2,VALVE,13,pcs,2024-10-27,139.56,1814.28
HPO6_1,3,9%_Ni_Alloy,7,ft,2024-11-17,146.26,1023.82
HPO6_1,4,304L_SS,4,ft,2024-11-18,361.44,1445.76
HPO6_1,5,VALVE,15,pcs,2024-10-27,95.25,1428.75
HPO6_1,6,FLANGE,10,pcs,2024-10-23,128.51,1285.1
HPO6_1,7,GASKET,20,pcs,2024-11-01,92.02,1840.4
HPO6_2,1,VALVE,19,pcs,2024-08-26,141.16,2682.04
HPO6_2,2,9%_Ni_Alloy,19,ft,2024-08-30,317.41,6030.79
HPO6_2,3,GASKET,18,pcs,2024-08-16,308.04,5544.72
HPO6_2,4,GASKET,14,pcs,2024-08-27,368.62,5160.68
HPO6_2,5,GASKET,7,pcs,2024-08-27,321.36,2249.52
HPO6_2,6,9%_Ni_Alloy,8,ft,2024-09-12,201.82,1614.56
HPO6_2,7,VALVE,10,pcs,2024-08-21,86.61,866.1
HPO6_3,1,INSULATION,15,pcs,2025-02-20,112.81,1692.15
HPO6_3,2,VALVE,19,pcs,2025-02-19,391.17,7432.23
